mode,game,run,seed,rounds,total1,total2,total_score,elapsed_sec
base,bos,1,100,100,24.0,27.0,51.0,186.78681874275208
base,pd,1,101,100,500.0,500.0,1000.0,185.84875988960266
base,harmony,1,102,100,300.0,300.0,600.0,185.2522475719452
base,deadlock,1,103,100,100.0,100.0,200.0,185.11722111701965
base,bos,2,104,100,24.0,27.0,51.0,185.44522142410278
base,pd,2,105,100,500.0,500.0,1000.0,185.7220766544342
base,harmony,2,106,100,300.0,300.0,600.0,185.30928540229797
base,deadlock,2,107,100,100.0,100.0,200.0,184.71439933776855
base,bos,3,108,100,24.0,27.0,51.0,183.89554071426392
base,pd,3,109,100,500.0,500.0,1000.0,184.75222992897034
base,harmony,3,110,100,300.0,300.0,600.0,184.37285017967224
base,deadlock,3,111,100,100.0,100.0,200.0,184.81368970870972
base,bos,4,112,100,24.0,27.0,51.0,184.55060052871704
base,pd,4,113,100,500.0,500.0,1000.0,184.53799271583557
base,harmony,4,114,100,300.0,300.0,600.0,184.01386094093323
base,deadlock,4,115,100,100.0,100.0,200.0,184.49345350265503
base,bos,5,116,100,24.0,27.0,51.0,184.19162845611572
base,pd,5,117,100,500.0,500.0,1000.0,185.102313041687
base,harmony,5,118,100,300.0,300.0,600.0,184.6084086894989
base,deadlock,5,119,100,100.0,100.0,200.0,184.71095728874207
base,bos,6,120,100,24.0,27.0,51.0,184.91965651512146
base,pd,6,121,100,500.0,500.0,1000.0,185.37896609306335
base,harmony,6,122,100,300.0,300.0,600.0,184.50830483436584
base,deadlock,6,123,100,100.0,100.0,200.0,184.93834590911865
base,bos,7,124,100,24.0,27.0,51.0,184.74473762512207
base,pd,7,125,100,500.0,500.0,1000.0,185.05984568595886
base,harmony,7,126,100,300.0,300.0,600.0,184.40432476997375
base,deadlock,7,127,100,100.0,100.0,200.0,184.83869647979736
base,bos,8,128,100,24.0,27.0,51.0,184.83125376701355
base,pd,8,129,100,500.0,500.0,1000.0,185.0007140636444
base,harmony,8,130,100,300.0,300.0,600.0,184.42398476600647
base,deadlock,8,131,100,100.0,100.0,200.0,184.63290357589722
base,bos,9,132,100,24.0,27.0,51.0,184.57146525382996
base,pd,9,133,100,500.0,500.0,1000.0,184.99591422080994
base,harmony,9,134,100,300.0,300.0,600.0,184.4530167579651
base,deadlock,9,135,100,100.0,100.0,200.0,185.137047290802
base,bos,10,136,100,24.0,27.0,51.0,183.9193892478943
base,pd,10,137,100,500.0,500.0,1000.0,184.48289108276367
base,harmony,10,138,100,300.0,300.0,600.0,184.21144819259644
base,deadlock,10,139,100,100.0,100.0,200.0,184.13160300254822
base,bos,11,140,100,24.0,27.0,51.0,183.96668195724487
base,pd,11,141,100,500.0,500.0,1000.0,184.62651252746582
base,harmony,11,142,100,300.0,300.0,600.0,183.99722003936768
base,deadlock,11,143,100,100.0,100.0,200.0,184.16205883026123
base,bos,12,144,100,24.0,27.0,51.0,184.02139806747437
base,pd,12,145,100,500.0,500.0,1000.0,184.53188180923462
base,harmony,12,146,100,300.0,300.0,600.0,184.04016041755676
base,deadlock,12,147,100,100.0,100.0,200.0,184.04156041145325
base,bos,13,148,100,24.0,27.0,51.0,184.77085304260254
base,pd,13,149,100,500.0,500.0,1000.0,184.77026796340942
base,harmony,13,150,100,300.0,300.0,600.0,184.13678002357483
base,deadlock,13,151,100,100.0,100.0,200.0,183.7973849773407
base,bos,14,152,100,24.0,27.0,51.0,184.02402520179749
base,pd,14,153,100,500.0,500.0,1000.0,184.45356965065002
base,harmony,14,154,100,300.0,300.0,600.0,184.1132674217224
base,deadlock,14,155,100,100.0,100.0,200.0,184.07869839668274
base,bos,15,156,100,24.0,27.0,51.0,184.00397515296936
base,pd,15,157,100,500.0,500.0,1000.0,184.53249716758728
base,harmony,15,158,100,300.0,300.0,600.0,183.9838147163391
base,deadlock,15,159,100,100.0,100.0,200.0,184.04394364356995
base,bos,16,160,100,24.0,27.0,51.0,183.972674369812
base,pd,16,161,100,500.0,500.0,1000.0,184.4408986568451
base,harmony,16,162,100,300.0,300.0,600.0,184.12254405021667
base,deadlock,16,163,100,100.0,100.0,200.0,184.05154252052307
base,bos,17,164,100,24.0,27.0,51.0,184.17136359214783
base,pd,17,165,100,500.0,500.0,1000.0,184.39131379127502
base,harmony,17,166,100,300.0,300.0,600.0,183.92508053779602
base,deadlock,17,167,100,100.0,100.0,200.0,184.28861784934998
base,bos,18,168,100,24.0,27.0,51.0,183.85319662094116
base,pd,18,169,100,500.0,500.0,1000.0,184.46380424499512
base,harmony,18,170,100,300.0,300.0,600.0,184.13726949691772
base,deadlock,18,171,100,100.0,100.0,200.0,184.36478877067566
base,bos,19,172,100,24.0,27.0,51.0,183.95958304405212
base,pd,19,173,100,500.0,500.0,1000.0,184.37655472755432
base,harmony,19,174,100,300.0,300.0,600.0,184.38305759429932
base,deadlock,19,175,100,100.0,100.0,200.0,184.3035237789154
base,bos,20,176,100,24.0,27.0,51.0,184.6032304763794
base,pd,20,177,100,500.0,500.0,1000.0,184.35724759101868
base,harmony,20,178,100,300.0,300.0,600.0,183.9845163822174
base,deadlock,20,179,100,100.0,100.0,200.0,184.01852416992188
base,bos,21,180,100,24.0,27.0,51.0,183.92176961898804
base,pd,21,181,100,500.0,500.0,1000.0,184.4153971672058
base,harmony,21,182,100,300.0,300.0,600.0,184.00835704803467
base,deadlock,21,183,100,100.0,100.0,200.0,184.24556636810303
base,bos,22,184,100,24.0,27.0,51.0,183.89939260482788
