mode,game,run,seed,total_score,total1,total2
psbr,bos,1,500000,1258.0,518.0,740.0
psbr,bos,2,500001,1700.0,1000.0,700.0
psbr,bos,3,500002,1564.0,644.0,920.0
psbr,bos,4,500003,1241.0,511.0,730.0
psbr,bos,5,500004,1190.0,490.0,700.0
psbr,bos,6,500005,1700.0,1000.0,700.0
psbr,bos,7,500006,1377.0,567.0,810.0
psbr,bos,8,500007,1700.0,1000.0,700.0
psbr,bos,9,500008,1683.0,693.0,990.0
psbr,bos,10,500009,1581.0,651.0,930.0
psbr,bos,11,500010,680.0,280.0,400.0
psbr,bos,12,500011,1054.0,434.0,620.0
psbr,bos,13,500012,1598.0,658.0,940.0
psbr,bos,14,500013,1700.0,1000.0,700.0
psbr,bos,15,500014,646.0,266.0,380.0
psbr,bos,16,500015,1377.0,567.0,810.0
psbr,bos,17,500016,1445.0,595.0,850.0
psbr,bos,18,500017,1326.0,546.0,780.0
psbr,bos,19,500018,1411.0,581.0,830.0
psbr,bos,20,500019,1700.0,1000.0,700.0
psbr,bos,21,500020,1309.0,539.0,770.0
psbr,bos,22,500021,1700.0,1000.0,700.0
psbr,bos,23,500022,1700.0,1000.0,700.0
psbr,bos,24,500023,1700.0,1000.0,700.0
psbr,bos,25,500024,391.0,230.0,161.0
psbr,bos,26,500025,1037.0,427.0,610.0
psbr,bos,27,500026,1377.0,567.0,810.0
psbr,bos,28,500027,1632.0,672.0,960.0
psbr,bos,29,500028,697.0,287.0,410.0
psbr,bos,30,500029,935.0,385.0,550.0
psbr,bos,31,500030,1037.0,427.0,610.0
psbr,bos,32,500031,1309.0,539.0,770.0
psbr,bos,33,500032,1700.0,1000.0,700.0
psbr,bos,34,500033,1343.0,553.0,790.0
psbr,bos,35,500034,1190.0,490.0,700.0
psbr,bos,36,500035,1156.0,476.0,680.0
psbr,bos,37,500036,1088.0,451.0,637.0
psbr,bos,38,500037,1700.0,1000.0,700.0
psbr,bos,39,500038,1700.0,1000.0,700.0
psbr,bos,40,500039,1224.0,504.0,720.0
psbr,bos,41,500040,1394.0,574.0,820.0
psbr,bos,42,500041,850.0,350.0,500.0
psbr,bos,43,500042,867.0,357.0,510.0
psbr,bos,44,500043,1139.0,469.0,670.0
psbr,bos,45,500044,1700.0,1000.0,700.0
psbr,bos,46,500045,1411.0,581.0,830.0
psbr,bos,47,500046,1700.0,1000.0,700.0
psbr,bos,48,500047,918.0,378.0,540.0
psbr,bos,49,500048,1292.0,532.0,760.0
psbr,bos,50,500049,1156.0,476.0,680.0
psbr,bos,51,500050,1632.0,672.0,960.0
psbr,bos,52,500051,1428.0,588.0,840.0
psbr,bos,53,500052,1258.0,518.0,740.0
psbr,bos,54,500053,1700.0,1000.0,700.0
psbr,bos,55,500054,1700.0,1000.0,700.0
psbr,bos,56,500055,1700.0,1000.0,700.0
psbr,bos,57,500056,1360.0,560.0,800.0
psbr,bos,58,500057,1496.0,616.0,880.0
psbr,bos,59,500058,1241.0,511.0,730.0
psbr,bos,60,500059,1275.0,525.0,750.0
psbr,bos,61,500060,1700.0,1000.0,700.0
psbr,bos,62,500061,1700.0,1000.0,700.0
psbr,bos,63,500062,1326.0,546.0,780.0
psbr,bos,64,500063,1411.0,581.0,830.0
psbr,bos,65,500064,1513.0,623.0,890.0
psbr,bos,66,500065,1411.0,581.0,830.0
psbr,bos,67,500066,1122.0,462.0,660.0
psbr,bos,68,500067,1207.0,497.0,710.0
psbr,bos,69,500068,1564.0,644.0,920.0
psbr,bos,70,500069,1700.0,1000.0,700.0
psbr,bos,71,500070,1700.0,1000.0,700.0
psbr,bos,72,500071,1700.0,700.0,1000.0
psbr,bos,73,500072,1156.0,476.0,680.0
psbr,bos,74,500073,1700.0,700.0,1000.0
psbr,bos,75,500074,1479.0,609.0,870.0
psbr,bos,76,500075,561.0,231.0,330.0
psbr,bos,77,500076,612.0,255.0,357.0
psbr,bos,78,500077,1564.0,644.0,920.0
psbr,bos,79,500078,833.0,346.0,487.0
psbr,bos,80,500079,1309.0,539.0,770.0
psbr,bos,81,500080,612.0,252.0,360.0
psbr,bos,82,500081,1700.0,1000.0,700.0
psbr,bos,83,500082,1054.0,434.0,620.0
psbr,bos,84,500083,1020.0,420.0,600.0
psbr,bos,85,500084,1700.0,1000.0,700.0
psbr,bos,86,500085,1105.0,455.0,650.0
psbr,bos,87,500086,1224.0,504.0,720.0
psbr,bos,88,500087,1700.0,1000.0,700.0
psbr,bos,89,500088,1700.0,1000.0,700.0
psbr,bos,90,500089,646.0,269.0,377.0
psbr,bos,91,500090,1700.0,1000.0,700.0
psbr,bos,92,500091,1547.0,637.0,910.0
psbr,bos,93,500092,1700.0,700.0,1000.0
psbr,bos,94,500093,986.0,406.0,580.0
psbr,bos,95,500094,1700.0,1000.0,700.0
psbr,bos,96,500095,1700.0,1000.0,700.0
psbr,bos,97,500096,1309.0,539.0,770.0
psbr,bos,98,500097,1496.0,616.0,880.0
psbr,bos,99,500098,1139.0,469.0,670.0
psbr,bos,100,500099,731.0,301.0,430.0
