mode,game,run,seed,rounds,total1,total2,total_score,elapsed_sec
psbr,bos,1,200000,200,1770.0,1239.0,3009.0,402.03512716293335
psbr,pd,1,200001,200,1462.0,1402.0,2864.0,373.515442609787
psbr,deadlock,1,200002,200,400.0,400.0,800.0,337.89065170288086
psbr,samaritan,1,200003,200,336.0,-176.0,160.0,411.0290582180023
psbr,lemons,1,200004,200,329.0,229.0,558.0,479.81989645957947
psbr,bos,2,200005,200,373.0,511.0,884.0,413.07340240478516
psbr,pd,2,200006,200,1390.0,1450.0,2840.0,382.3609437942505
psbr,deadlock,2,200007,200,400.0,400.0,800.0,336.8249349594116
psbr,samaritan,2,200008,200,347.0,-180.0,167.0,408.376060962677
psbr,lemons,2,200009,200,389.0,291.0,680.0,468.28557658195496
psbr,bos,3,200010,200,1225.0,1750.0,2975.0,419.59243512153625
psbr,pd,3,200011,200,1427.0,1437.0,2864.0,363.8894121646881
psbr,deadlock,3,200012,200,400.0,400.0,800.0,336.9860191345215
psbr,samaritan,3,200013,200,363.0,-188.0,175.0,407.83279633522034
psbr,lemons,3,200014,200,503.0,426.0,929.0,459.01901030540466
psbr,bos,4,200015,200,910.0,1300.0,2210.0,424.04180812835693
psbr,pd,4,200016,200,1422.0,1352.0,2774.0,377.65039134025574
psbr,deadlock,4,200017,200,400.0,400.0,800.0,336.10539960861206
psbr,samaritan,4,200018,200,349.0,-181.0,168.0,403.00559258461
psbr,lemons,4,200019,200,306.0,230.0,536.0,472.1170229911804
psbr,bos,5,200020,200,567.0,810.0,1377.0,414.7848856449127
psbr,pd,5,200021,200,1423.0,1453.0,2876.0,368.645220041275
psbr,deadlock,5,200022,200,400.0,400.0,800.0,340.2627065181732
psbr,samaritan,5,200023,200,380.0,-193.0,187.0,409.5315544605255
psbr,lemons,5,200024,200,325.0,217.0,542.0,498.5697069168091
psbr,bos,6,200025,200,393.0,525.0,918.0,420.6476607322693
psbr,pd,6,200026,200,1502.0,1422.0,2924.0,363.68944096565247
psbr,deadlock,6,200027,200,400.0,400.0,800.0,338.4291527271271
psbr,samaritan,6,200028,200,373.0,-188.0,185.0,412.89563488960266
psbr,lemons,6,200029,200,387.0,322.0,709.0,475.15465664863586
psbr,bos,7,200030,200,796.0,1108.0,1904.0,421.53040742874146
psbr,pd,7,200031,200,1471.0,1471.0,2942.0,369.5178906917572
psbr,deadlock,7,200032,200,400.0,400.0,800.0,336.56282448768616
psbr,samaritan,7,200033,200,282.0,-146.0,136.0,402.1210482120514
psbr,lemons,7,200034,200,356.0,256.0,612.0,475.34661841392517
psbr,bos,8,200035,200,555.0,771.0,1326.0,427.1693444252014
psbr,pd,8,200036,200,1398.0,1478.0,2876.0,370.01995182037354
psbr,deadlock,8,200037,200,400.0,400.0,800.0,339.7775626182556
psbr,samaritan,8,200038,200,341.0,-181.0,160.0,409.5079736709595
psbr,lemons,8,200039,200,373.0,258.0,631.0,498.54362988471985
psbr,bos,9,200040,200,1008.0,1440.0,2448.0,423.54575634002686
psbr,pd,9,200041,200,1477.0,1417.0,2894.0,372.2611970901489
psbr,deadlock,9,200042,200,400.0,400.0,800.0,338.4165081977844
psbr,samaritan,9,200043,200,327.0,-168.0,159.0,409.0635812282562
psbr,lemons,9,200044,200,404.0,248.0,652.0,476.1435272693634
psbr,bos,10,200045,200,1377.0,969.0,2346.0,410.84510946273804
psbr,pd,10,200046,200,1526.0,1446.0,2972.0,363.9506928920746
psbr,deadlock,10,200047,200,400.0,400.0,800.0,338.3863971233368
psbr,samaritan,10,200048,200,356.0,-181.0,175.0,413.81292748451233
psbr,lemons,10,200049,200,415.0,304.0,719.0,476.1919541358948
