mode,game,run,seed,rounds,total1,total2,total_score,elapsed_sec
scot,bos,1,100100,100,700.0,1000.0,1700.0,378.7293574810028
scot,pd,1,100101,100,500.0,500.0,1000.0,377.5956983566284
scot,harmony,1,100102,100,297.0,297.0,594.0,376.2635304927826
scot,deadlock,1,100103,100,200.0,200.0,400.0,375.83400225639343
scot,bos,2,100104,100,700.0,1000.0,1700.0,376.9065773487091
scot,pd,2,100105,100,500.0,500.0,1000.0,377.01135420799255
scot,harmony,2,100106,100,297.0,297.0,594.0,375.835444688797
scot,deadlock,2,100107,100,200.0,200.0,400.0,376.0614535808563
scot,bos,3,100108,100,700.0,1000.0,1700.0,376.77279806137085
scot,pd,3,100109,100,500.0,500.0,1000.0,376.97359228134155
scot,harmony,3,100110,100,297.0,297.0,594.0,375.47309827804565
scot,deadlock,3,100111,100,200.0,200.0,400.0,376.11613726615906
scot,bos,4,100112,100,700.0,1000.0,1700.0,376.9345066547394
scot,pd,4,100113,100,500.0,500.0,1000.0,377.2898783683777
scot,harmony,4,100114,100,297.0,297.0,594.0,375.4881100654602
scot,deadlock,4,100115,100,200.0,200.0,400.0,376.06862711906433
scot,bos,5,100116,100,700.0,1000.0,1700.0,376.98137402534485
scot,pd,5,100117,100,500.0,500.0,1000.0,376.9891126155853
scot,harmony,5,100118,100,297.0,297.0,594.0,374.8595759868622
scot,deadlock,5,100119,100,200.0,200.0,400.0,375.93100333213806
scot,bos,6,100120,100,700.0,1000.0,1700.0,376.995276927948
scot,pd,6,100121,100,500.0,500.0,1000.0,377.36416268348694
scot,harmony,6,100122,100,297.0,297.0,594.0,375.4098551273346
scot,deadlock,6,100123,100,200.0,200.0,400.0,376.3929646015167
scot,bos,7,100124,100,700.0,1000.0,1700.0,377.30806970596313
scot,pd,7,100125,100,500.0,500.0,1000.0,376.91939067840576
scot,harmony,7,100126,100,297.0,297.0,594.0,375.63821363449097
scot,deadlock,7,100127,100,200.0,200.0,400.0,376.15611267089844
scot,bos,8,100128,100,700.0,1000.0,1700.0,376.92420411109924
scot,pd,8,100129,100,500.0,500.0,1000.0,376.96722531318665
scot,harmony,8,100130,100,297.0,297.0,594.0,375.281503200531
scot,deadlock,8,100131,100,200.0,200.0,400.0,375.99918127059937
scot,bos,9,100132,100,700.0,1000.0,1700.0,377.2262532711029
scot,pd,9,100133,100,500.0,500.0,1000.0,377.04558300971985
scot,harmony,9,100134,100,297.0,297.0,594.0,375.24073815345764
scot,deadlock,9,100135,100,200.0,200.0,400.0,375.756306886673
scot,bos,10,100136,100,700.0,1000.0,1700.0,376.953542470932
scot,pd,10,100137,100,500.0,500.0,1000.0,377.1444227695465
scot,harmony,10,100138,100,297.0,297.0,594.0,375.5101718902588
scot,deadlock,10,100139,100,200.0,200.0,400.0,375.6123275756836
scot,bos,11,100140,100,700.0,1000.0,1700.0,376.898952960968
scot,pd,11,100141,100,500.0,500.0,1000.0,376.78458285331726
scot,harmony,11,100142,100,297.0,297.0,594.0,375.29181385040283
scot,deadlock,11,100143,100,200.0,200.0,400.0,375.71860814094543
scot,bos,12,100144,100,700.0,1000.0,1700.0,377.01936626434326
scot,pd,12,100145,100,500.0,500.0,1000.0,376.97701930999756
scot,harmony,12,100146,100,297.0,297.0,594.0,375.46097588539124
scot,deadlock,12,100147,100,200.0,200.0,400.0,375.9467227458954
scot,bos,13,100148,100,700.0,1000.0,1700.0,376.99322271347046
scot,pd,13,100149,100,500.0,500.0,1000.0,377.02398657798767
scot,harmony,13,100150,100,297.0,297.0,594.0,375.53048396110535
scot,deadlock,13,100151,100,200.0,200.0,400.0,375.58946800231934
scot,bos,14,100152,100,700.0,1000.0,1700.0,376.7982065677643
scot,pd,14,100153,100,500.0,500.0,1000.0,376.7162916660309
scot,harmony,14,100154,100,297.0,297.0,594.0,374.6355538368225
scot,deadlock,14,100155,100,200.0,200.0,400.0,376.036572933197
scot,bos,15,100156,100,700.0,1000.0,1700.0,376.8142611980438
scot,pd,15,100157,100,500.0,500.0,1000.0,376.62949681282043
scot,harmony,15,100158,100,297.0,297.0,594.0,375.2572522163391
scot,deadlock,15,100159,100,200.0,200.0,400.0,375.99984407424927
scot,bos,16,100160,100,700.0,1000.0,1700.0,376.8771517276764
scot,pd,16,100161,100,500.0,500.0,1000.0,376.7934989929199
scot,harmony,16,100162,100,297.0,297.0,594.0,375.2700173854828
scot,deadlock,16,100163,100,200.0,200.0,400.0,375.59408926963806
scot,bos,17,100164,100,700.0,1000.0,1700.0,376.8255777359009
scot,pd,17,100165,100,500.0,500.0,1000.0,376.7254943847656
scot,harmony,17,100166,100,297.0,297.0,594.0,375.0424807071686
scot,deadlock,17,100167,100,200.0,200.0,400.0,375.76602721214294
scot,bos,18,100168,100,700.0,1000.0,1700.0,376.90137457847595
scot,pd,18,100169,100,500.0,500.0,1000.0,377.1030158996582
scot,harmony,18,100170,100,297.0,297.0,594.0,375.07766127586365
scot,deadlock,18,100171,100,200.0,200.0,400.0,375.70880937576294
scot,bos,19,100172,100,700.0,1000.0,1700.0,377.06186175346375
scot,pd,19,100173,100,500.0,500.0,1000.0,376.925288438797
scot,harmony,19,100174,100,297.0,297.0,594.0,375.86611557006836
scot,deadlock,19,100175,100,200.0,200.0,400.0,376.32804322242737
scot,bos,20,100176,100,700.0,1000.0,1700.0,376.9260036945343
scot,pd,20,100177,100,500.0,500.0,1000.0,377.0581531524658
scot,harmony,20,100178,100,297.0,297.0,594.0,375.77558612823486
scot,deadlock,20,100179,100,200.0,200.0,400.0,375.221066236496
scot,bos,21,100180,100,700.0,1000.0,1700.0,376.7154235839844
scot,pd,21,100181,100,500.0,500.0,1000.0,377.0897948741913
scot,harmony,21,100182,100,297.0,297.0,594.0,375.4498164653778
scot,deadlock,21,100183,100,200.0,200.0,400.0,375.43379282951355
scot,bos,22,100184,100,700.0,1000.0,1700.0,377.44937682151794
scot,pd,22,100185,100,500.0,500.0,1000.0,377.2068886756897
scot,harmony,22,100186,100,297.0,297.0,594.0,375.18199610710144
scot,deadlock,22,100187,100,200.0,200.0,400.0,375.44756531715393
scot,bos,23,100188,100,700.0,1000.0,1700.0,376.93787717819214
